Aaliyah (np) 	Aaliyah (np.ant) 
gweledig	visible (adj) 
gweledol	visual (adj) 
gwella	improve (vblex) 
gwellhau	improve (vblex) 
gwelliannu	improve (vblex) 
gwelliant	amendment (n) 
gwelliant	enhancement (n) 
gwelliant	improvement (n) 
gwellt	grass (n) 
gwelltyn	blade#_of_grass (n) 
gwelltyn	hair (n) 
gwelwi	dim (vblex) 
gwely	bed (n) 
gwelydd	viewer (n) 
gwendid	weakness (n) 
Gwener	Venus (np.top) 
gwenieithio	flatter (vblex) 
gwenieithu	flatter (vblex) 
Gwent	Gwent (np.top) 
gwenu	smile (vblex) 
gwen	white (adj.sint) 
gwenwyno	poison (vblex) 
gwenwyn	poison (n) 
gwenynen	bee (n) 
gwepio	weep (vblex) 
gwerdd	green (adj.sint) 
gwerin	folk (n) 
Gweriniaeth_Canolbarth_Affrica	Central_African_Republic (np.top) 
Gweriniaeth_Ddemocrataidd_Congo	Democratic_Republic_of_the_Congo (np.top) 
Gweriniaeth_Ddemocrataidd_y_Congo	Democratic_Republic_of_the_Congo (np.top) 
Gweriniaeth_De_Affrica	South_Africa (np.top) 
Gweriniaeth_Dominica	Dominican_Republic (np.top) 
Gweriniaeth_Iwerddon	Republic_of_Ireland (np.top) 
Gweriniaeth_Korea	South_Korea (np.top) 
gweriniaeth	republic (n) 
Gweriniaeth_Tsiec	Czech_Republic (np.top) 
Gweriniaeth_y_Tsieciaid	Czech_Republic (np.top) 
gwern	meadow (n) 
gwers	lesson (n) 
gwersylla	camp (vblex) 
gwersyll	camp (n) 
gwêr	tallow (n) 
gwerthadwy	saleable (adj) 
gwerthfawrogiad	appreciation (n) 
gwerthfawrogi	appreciate (vblex) 
gwerthfawr	valuable (adj) 
gwerthiant	sale (n) 
gwerthu	sell (vblex) 
gwerthusiad	evaluation (n) 
gwerth	value (n) 
gwerthwr	seller (n) 
gwerthyd	furnish#_with_an_axle (vblex) 
gweru	grease (vblex) 
gwerydu	manure#_land (vblex) 
gweryru	whinny (vblex) 
gwestai	guest (n) 
gwesteiwr	host (n) 
gwesty	hotel (n) 
gweu	knit (vblex) 
gwe	web (n) 
gwgu	frown (vblex) 
gwialenodi	lash (vblex) 
gwibio	dart (vblex) 
gwichian	squeak (vblex) 
gwifren	wire (n) 
gwifrio	wire (vblex) 
gwinau	brown (adj.sint) 
gwingo	writhe (vblex) 
gwin	wine (n) 
gwireddu	verify (vblex) 
gwirfoddoli	volunteer (vblex) 
gwirfoddol	voluntary (adj) 
gwirfoddolwr	volunteer (n) 
gwiriad	check (n) 
gwirio	check (vblex) 
gwirioneddol	real (adj) 
gwirionedd	truth (n.unc) 
gwirioneddu	substantiate (vblex) 
gwirioni	dote (vblex) 
gwirion	silly (adj.sint) 
gwirionyn	simpleton (n) 
gwir	true (adj.sint) 
gwirwerth	truth-value (n) 
gwisg	dress (n) 
gwisgo	dress (vblex) 
gwiweru	squirrel#_away (vblex) 
gwlad_Basg	Basque_Country (np.top) 
Gwlad_Belg	Belgium (np.top) 
gwlad	country (n) 
gwladgarwch	patriotism (n) 
Gwlad_Groeg	Greece (np.top) 
Gwlad_Iorddonen	Jordan (np.top) 
gwladoli	nationalise (vblex) 
gwladol	national (adj) 
Gwlad_Pwyl	Poland (np.top) 
Gwlad_Swazi	Swaziland (np.top) 
gwlad_Thai	Thailand (np.top) 
gwladychu	colonise (vblex) 
Gwlad_yr_Iâ	Iceland (np.top) 
Gwlad_yr_Iorddonen	Jordan (np.top) 
Gwlad_y_Swasi	Swaziland (np.top) 
Gwlad_y_Swazi	Swaziland (np.top) 
gwlana	gather#_wool (vblex) 
gwledd	feast (n) 
gwledig	rural (adj) 
gwleidyddiaeth	politics (n) 
gwleidyddoli	politicise (vblex) 
gwleidyddol	political (adj) 
gwleidydd	politician (n) 
Gwlff_Persia	Persian_Gulf (np.top) 
gwlith	dew (n) 
gwlyb	wet (adj) 
gwlychu	moisten (vblex) 
gwneud#_cais	make#_a_request (vblex) 
gwneud#_defnydd	make#_use (vblex) 
gwneud	do (vblex) 
gwneud#_penderfyniadau	make#_decisions (vblex) 
gwneuthuriad	brand (n) 
gwneuthurwr	manufacturer (n) 
gwnïo	sew (vblex) 
gwobr	prize (n) 
gwobrwyo	reward (vblex) 
gwraig	wife (n) 
gwrandawiad	hearing (n) 
gwrando#_ar	listen#_to (vblex) 
gwrando	listen (vblex) 
gwregysu	girdle (vblex) 
gwreica	seek#_a_wife (vblex) 
gwreichioni	sparkle (vblex) 
gwreiddioldeb	originality (n) 
gwreiddiol	original (adj) 
gwreiddio	root (vblex) 
gwreiddyn	root (n) 
gwrêng	proletariat (n) 
gwresogi	heat (vblex) 
gwresog	warm (adj.sint) 
gwres	warmth (n) 
gwresydd	heater (n) 
gŵr	husband (n) 
gwrido	blush (vblex) 
gŵr	man (n) 
gwrogaeth	homage (n) 
gwrogaethol	submissive (adj) 
gwrogi	pay#_homage (vblex) 
gwroli	hearten (vblex) 
gwrteithio	manure (vblex) 
gwrthblaid	opposition (n.unc) 
gwrthbleidlais	opposition_vote (n) 
gwrthbrofi	disprove (vblex) 
gwrthbwyso	counterbalance (vblex) 
gwrthbwysol	counterbalancing (adj) 
gwrthdaro	collide (vblex) 
gwrthddadleuo	contradict (vblex) 
gwrth-ddweud	contradict (vblex) 
gwrthddywedyd	contradict (vblex) 
gwrthdrawiad	collision (n) 
gwrthdroedig	reverse (adj) 
gwrthdro	inverse (n) 
gwrthdro	inverted (adj) 
gwrthdroi	reverse (vblex) 
gwrthdystio	protest (vblex) 
gwrthganu	satirise (vblex) 
gwrthgilio	recede (vblex) 
gwrthglocwedd	anticlockwise (adj) 
gwrthgyferbynnu	contrast (vblex) 
gwrthgymdeithasol	antisocial (adj) 
gwrth-Gymraeg	anti-Welsh (adj) 
gwrth-Gymreictod	anti-Welsh_feeling (n) 
gwrth-Gymreig	anti-Welsh (adj) 
gwrthiant	resistance (n) 
gwrthneidio	recoil (vblex) 
gwrthnysedd	repulsion (n) 
gwrthod	refuse (vblex) 
gwrthrychedd	objectivity (n) 
gwrthrych	object (n) 
gwrthrychol	objective (adj) 
gwrthryfela	rebel (vblex) 
gwrthsefyll	withstand (vblex) 
gwrth-semitiaeth	antisemitism (n) 
gwrthsoddi	countersink (vblex) 
gwrthuni	absurdity (n) 
gwrthuno	deface (vblex) 
gwrthwasgu	do#_pushups (vblex) 
gwrthweithio	react (vblex) 
gwrthwenwyn	antidote (n) 
gwrthwynebiad	opposition (n) 
gwrthwyneb	opposite (n) 
gwrthwynebu	oppose (vblex) 
gwrthwynebwr	opponent (n) 
gwrych	hedge (n) 
gwrychyn	hackle (n) 
gwryd	fathom (n) 
gwrymio	seam (vblex) 
gwrywaidd	manly (adj) 
gwryw	male (adj) 
gwthio	shove (vblex) 
gwybedyn	gnat (n) 
gwybeta	dart#_about (vblex) 
gwybodaeth	knowledge (n) 
gwybod	know (vblex) 
gwybodus	knowledgeable (adj) 
gwybyddol	cognitive (adj) 
gwybyddus	known (adj) 
gwych	splendid (adj) 
gwyddbwyll	chess (n) 
Gwyddeleg	Irish (n) 
gwyddoniadur	encyclopaedia (n) 
gwyddoniaeth	science (n) 
gwyddonol	scientific (adj) 
gwyddonydd	scientist (n) 
gwyddor	alphabet (n) 
gwyddori	instruct (vblex) 
gwyddor	science (n) 
gŵydd	presence (n) 
gwydnhau	toughen (vblex) 
gwydr	glass (n) 
gwydro	glaze (vblex) 
gŵyl	festival (n) 
gŵyl	holiday (n) 
gwyliedydd	sentinel (n) 
gwylio	watch (vblex) 
gwyliwr	spectator (n) 
gwylltio	fly#_into_a_temper (vblex) 
gwyllt	wild (adj.sint) 
gwymon	seaweed (n) 
Gwynedd	Gwynedd (np.top) 
gwyngalchu	whitewash (vblex) 
gwynlasu	turn#_deathly_pale (vblex) 
Gwyn (np) 	Gwyn (np.ant) 
gwynnu	whiten (vblex) 
gwyntio	smell (vblex) 
gwynt	wind (n) 
gwyntyllu	ventilate (vblex) 
gwyn	white (adj.sint) 
gwyrdd	green (adj.sint) 
gwyrddlas	cyan (adj) 
gwyrddu	turn#_green (vblex) 
gwyrgamu	go#_awry (vblex) 
gwyriad	deviation (n) 
gwyro	veer (vblex) 
gwysio	summon (vblex) 
gwys	summons (n) 
gwystlo	pledge (vblex) 
gwystno	shrivel (vblex) 
gyda	as_soon_as (cnjsub) 
gyda'i_gilydd	together (adv) 
gyda_llaw	by_the_way (adv) 
gyda'r_nos	at_night (adv) 
gyda	with (pr) 
gyd-benodiad	joint_appointment (n) 
gyferbyn_â	opposite (pr) 
Gyles (np) 	Gyles (np.ant) 
gymnasteg	gymnastics (n) 
gynt	of_earlier_times (adv) 
gyrfa	career (n) 
gyrfaol	career (adj) 
gyriant	disk_drive (n) 
gyrru	drive (vblex) 
gyrrwr	driver (n) 
gyrrydd	driver (n) 
gywyo	wither (vblex) 
hacio	hack (vblex) 
had-deilen	cotyledon (n) 
hadu	seed (vblex) 
haearnach	scrap_iron (n) 
haearn	iron (n) 
haeddu	deserve (vblex) 
hael	generous (adj) 
haenellu	plate (vblex) 
haen	layer (n) 
haenlun	layout (n) 
haenu	layer (vblex) 
haeru	contend (vblex) 
hafal	equal (adj) 
hafaliad	equation (n) 
hafalnod	equals_sign (n) 
hafalochrog	equilateral (adj) 
hafalu	equate (vblex) 
hafan	home_page (n) 
Haf (np) 	Haf (np.cog) 
Hafren	Avon (np.top) 
haf	summer (n) 
hagráu	disfigure (vblex) 
hagru	disfigure (vblex) 
hagr	ugly (adj.sint) 
haid	swarm (n) 
haint	infection (n) 
Haiti	Haiti (np.top) 
haldian	totter (vblex) 
haldio	totter (vblex) 
halen	salt (n) 
halian	haul (vblex) 
halio	haul (vblex) 
Hall (np) 	Hall (np.cog) 
hallt	salty (adj.sint) 
halltu	salt (vblex) 
halogi	sully (vblex) 
Hamburg	Hamburg (np.top) 
hambwrdd	tray (n) 
hambygio	tease (vblex) 
hamddena	take#_it_easy (vblex) 
hamdden	leisure (n) 
hamddenol	leisurely (adj) 
Hamilton (np) 	Hamilton (np.cog) 
Hamish (np) 	Hamish (np.ant) 
Hana (np) 	Hana (np.ant) 
haneru	halve (vblex) 
hanes	history (n) 
hanes	story (n) 
haneswr	historian (n) 
hanesydd	historian (n) 
hanesyddol	historical (adj) 
hanfod	essence (n) 
hanfodion	essentials (n) 
hanfodol	essential (adj) 
Hannah (np) 	Hannah (np.ant) 
hanner-awtomatig	semi-automatic (adj) 
hanner	half (n) 
hanu	originate (vblex) 
hap	chance (n) 
hapchwarae	gamble (vblex) 
hapchwarae	game#_of_chance (n) 
hapddalwr	stakeholder (n) 
hap-ddewis	random_choice (n) 
hapfasnachu	speculate (vblex) 
hapgyrchu	random_access (vblex) 
haprif	random_number (n) 
hapus	happy (adj.sint) 
hapusrwydd	happiness (n.unc) 
harbwr	harbour (n) 
harddu	beautify (vblex) 
Harley (np) 	Harley (np.ant) 
harmonig	harmonic (adj) 
harneisio	harness (vblex) 
Harriet (np) 	Harriet (np.ant) 
Harris (np) 	Harris (np.ant) 
Harris (np) 	Harris (np.cog) 
Harrison (np) 	Harrison (np.ant) 
Harry (np) 	Harry (np.ant) 
Hart (np) 	Hart (np.cog) 
Harvey (np) 	Harvey (np.ant) 
haul	sun (n) 
hau	sow (vblex) 
Havard (np) 	Havard (np.cog) 
Hawaii	Hawaii (np.top) 
hawdd	easy (adj.sint) 
hawl-dynol	human-right (n) 
hawlfraint	copyright (n) 
hawliad	claim (n) 
hawlio	claim (vblex) 
hawliwr	claimant (n) 
hawl	right (n) 
hawlrwym	lien (n) 
Hayden (np) 	Hayden (np.ant) 
Hayleigh (np) 	Hayleigh (np.ant) 
Hayley (np) 	Hayley (np.ant) 
Hazel (np) 	Hazel (np.ant) 
Heather (np) 	Heather (np.ant) 
heblaw	without (pr) 
heb_os_nac_onibai	with_no_ifs_or_buts (adv) 
hebrwng	escort (vblex) 
heb_siw_na_miw	without_a_trace (adv) 
heb	without (pr) 
heclo	heckle (vblex) 
hecsadegol	hexadecimal (adj) 
hecsagon	hexagon (n) 
hecsagram	hexagram (n) 
hecsdeilsen	hextile (n) 
hecs	hex (adj) 
hecsomino	hexomino (n) 
hectar	hectare (n) 
hecterw	hectare (n) 
hectogram	hectogram (n) 
hecto	hecto (adj) 
hectolitr	hectolitre (n) 
hectometr	hectometre (n) 
Héctor (np) 	Héctor (np.ant) 
heddiw	today (adv) 
heddlu	police_force (n) 
heddlu	police (n) 
Heddlu'r_De (np.org) 	South_Wales_Police (np.org) 
Heddlu'r_Gogledd (np.org) 	North_Wales_Police (np.org) 
heddwch	peace (n.unc) 
heddychaeth	pacifism (n) 
heddychlon	peaceful (adj) 
heddychu	pacify (vblex) 
hedfan	fly (vblex) 
hedo	fly (vblex) 
hefyd	also (adv) 
heglu	flee (vblex) 
heibio	past (pr) 
heicio	hike (vblex) 
Heidi (np) 	Heidi (np.ant) 
heidio	swarm (vblex) 
heigio	swarm (vblex) 
heini	fit (adj.sint) 
heintio	contaminate (vblex) 
heintus	infectious (adj) 
heislanu	hackle#_flax (vblex) 
helaeth	ample (adj) 
helaethiad	enlargement (n) 
helaethrwydd	abundance (n) 
helaethrwydd	extent (n) 
helaethu	enlarge (vblex) 
hela	hunt (vblex) 
hel	collect (vblex) 
Helena (np) 	Helena (np.ant) 
Helen (np) 	Helen (np.ant) 
helpio	help (vblex) 
helpu	help (vblex) 
Helsinki	Helsinki (np.top) 
helynt	predicament (n) 
hemio	hem (vblex) 
henaidd	old-fashioned (adj) 
hencian	limp (vblex) 
Henderson (np) 	Henderson (np.cog) 
hendrefu	dwell (vblex) 
heneiddio	age (vblex) 
henna	henna (n) 
hen	old (adj.sint) 
heno	tonight (adv) 
Henry (np) 	Henry (np.ant) 
hepgor	expendable_thing (n) 
hepgoriad	exception (n) 
hepgor	omit (vblex) 
hepian	nod#_off (vblex) 
heptagon	heptagon (n) 
herald	herald (n) 
her	challenge (n) 
hercian	limp (vblex) 
hercio	hobble (vblex) 
Hercules (np) 	Hercules (np.ant) 
herfeiddio	defy (vblex) 
herian	tease (vblex) 
herio	challenge (vblex) 
heriol	challenging (adj) 
herwgipio	kidnap (vblex) 
herwhela	poach (vblex) 
hesbio	dry (vblex) 
heulo	sun (vblex) 
heulwen	sunshine (n) 
heuru	assert (vblex) 
heu	sow (vblex) 
Hewrey (np) 	Hewrey (np.ant) 
hicio	slit (vblex) 
hidio	heed (vblex) 
hidlen	filter (n) 
hidlo	strain (vblex) 
hidl	strainer (n) 
hidrogen	hydrogen (n) 
hidroleiddio	hydrolyse (vblex) 
hidrostateg	hydrostatics (n) 
hierarchaeth	hierarchy (n) 
hierarchaidd	hierarchical (adj) 
hiffio	drift (vblex) 
hifflo	gush (vblex) 
hifio	heave (vblex) 
hiliaeth	racism (n) 
hiliol	racial (adj) 
Hill (np) 	Hill (np.cog) 
hindreulio	weather (vblex) 
hindro	hinder (vblex) 
hindŵaeth	hinduism (n) 
hinoni	become#_fine (vblex) 
hinsawdd	climate (n) 
hinsoddi	acclimatise (vblex) 
hiraeth	longing (n) 
hiraeth	nostalgia (n) 
hiraethu	long#_for (vblex) 
hirbarhau	endure (vblex) 
hirdymor	long-term (n) 
hirfaith	long-winded (adj) 
hirgrwn	oval (adj) 
hirgylch	ellipse (n) 
hir_hoedledd	longevity (n) 
hirhoedlog	long-lived (adj) 
hir	long (adj.sint) 
hirsefydledig	long-established (adj) 
hirsefydlog	longstanding (adj) 
hirsgwar	oblong (adj) 
hirsgwar	oblong (n) 
hisian	hiss (vblex) 
hiwmaniaeth	humanism (n) 
hiwmor	humour (n) 
hobelu	hobble (vblex) 
hocedu	cheat (vblex) 
hoelio	nail (vblex) 
hoenynnu	snare (vblex) 
hoetian	gallivant (vblex) 
hoffeicon	favicon (n) 
hoff	favourite (adj) 
hoffi	like (vblex) 
hoff	preferred (adj) 
hoffter	preference (n) 
hofio	hoe (vblex) 
hofran	hover (vblex) 
hofrenfad	hovercraft (n) 
hogi	whet (vblex) 
hogyn	lad (n) 
holiadur	questionnaire (n) 
holi	ask (vblex) 
holl	all (adj) 
Hollie (np) 	Hollie (np.ant) 
hollol	completely (adj) 
hollt	forked (adj) 
hollti	split (vblex) 
Holly (np) 	Holly (np.ant) 
Holmes (np) 	Holmes (np.cog) 
holwyddori	catechise (vblex) 
honcio	totter (vblex) 
Honduras	Honduras (np.top) 
Hondwras	Honduras (np.top) 
honedig	alleged (adj) 
Hong_Cong	Hong_Kong (np.top) 
hongian	hang (vblex) 
Hong_Kong	Hong_Kong (np.top) 
honiad	allegation (n) 
honna	that (det.dem) 
honni	claim (vblex) 
honno	that (det.dem) 
Honor (np) 	Honor (np.ant) 
hon	this (det.dem) 
Hope (np) 	Hope (np.ant) 
hostel	hostel (n) 
hoyw	gay (adj) 
hoywi	brighten (vblex) 
hualu	fetter (vblex) 
huawdl	eloquent (adj) 
huddo	cover (vblex) 
hudladrata	swindle (vblex) 
hud	magic (adj) 
hudo	captivate (vblex) 
hufen	cream (n) 
hufennau	creams (n) 
hufennu	cream (vblex) 
Hughes (np) 	Hughes (np.cog) 
Hugh (np) 	Hugh (np.ant) 
Hugo (np) 	Hugo (np.ant) 
hulio	lay (vblex) 
Humphrey (np) 	Humphrey (np.ant) 
hunanachosedig	self-inflicted (adj) 
hunanasesu	self-assess (vblex) 
hunanbarch	self-respect (n) 
hunanddewis	self-select (vblex) 
hunanfoddhaus	self-satisfied (adj) 
hunangyfeirio	self-regard (vblex) 
hunangyflogedig	self-employed (adj) 
hunangynhaliol	self-sustaining (adj) 
hunanholi	self-examine (vblex) 
hunanladdiad	suicide (n) 
hunanymwadu	deny#_oneself (vblex) 
hunllef	nightmare (n) 
huno	sleep (vblex) 
Hunter (np) 	Hunter (np.cog) 
Hunt (np) 	Hunt (np.cog) 
hurbwrcas	hire-purchase (n) 
hurio	hire (vblex) 
hurtio	become#_confused (vblex) 
Hutt (np) 	Hutt (np.cog) 
Huw (np) 	Huw (np.ant) 
Huws (np) 	Huws (np.cog) 
hwb	push (n) 
Hwlffordd	Haverfordwest (np.top) 
Hwngaria	Hungary (np.top) 
Hwngari	Hungary (np.top) 
hwnna	that (det.dem) 
hwnnw	that (det.dem) 
hwnt	beyond (adv) 
hwn	this (det.dem) 
hwpio	ram (vblex) 
hwpo	ram (vblex) 
hwrio	whore (vblex) 
hwsmona	cultivate (vblex) 
hwtian	hoot (vblex) 
hwtio	hoot (vblex) 
hwyhau	lengthen (vblex) 
hwyl	fun (n.unc) 
hwylfyrddio	sailboard (vblex) 
hwylio	sail (vblex) 
hwylus	convenient (adj) 
hwyluso	facilitate (vblex) 
hwyrach	perhaps (adv) 
hwyred	as_late (adj) 
hwyrhau	get#_late (vblex) 
hwyr	late (adj) 
hyblyg	flexible (adj) 
hyblygrwydd	flexibility (n) 
hy	bold (adj.sint) 
hybu	promote (vblex) 
hyd	as_far_as (cnjsub) 
hyder	confidence (n) 
hyderu	be#_confident (vblex) 
hyderus	confident (adj) 
hyd	length (n) 
hydoddedd	solubility (n) 
hydref	autumn (n) 
Hydref	October (n) 
hyd	until (pr) 
hyd_yn_hyn	up_until_now (adv) 
hydyniad	traction (n) 
hyd_yn_oed	even (adv) 
hyfforddai	trainee (n) 
hyfforddedig	trained (adj) 
hyfforddiadol	training (adj) 
hyfforddiad	tutorial (n) 
hyfforddiant	training (n) 
hyfforddi	train (vblex) 
hyfforddwr	trainer (n) 
hyfryd	delightful (adj) 
hyfrydu	delight (vblex) 
hyfrydwch	delight (n) 
hyfywedd	viability (n) 
hyfyw	viable (adj) 
hygrededd	credibility (n) 
hygyrch	accessible (adj) 
hygyrchedd	accessibility (n) 
hylaw	convenient (adj) 
hylendid	hygiene (n) 
hylenydd	hygienist (n) 
hylif	liquid (n) 
hylifo	liquidise (vblex) 
hylifol	liquid (adj) 
hyll	ugly (adj.sint) 
hymian	hum (vblex) 
hymynnu	rivet (vblex) 
hynafol	ancient (adj) 
hynny	that (det.dem) 
hynny	that (prn) 
hynodi	distinguish (vblex) 
hynod	remarkable (adj) 
hynod	remarkably (adv) 
hynt	course (n) 
hyn	this (det.dem) 
hyn	this (prn) 
hyperbolig	hyperbolic (adj) 
hypergeometrig	hypergeometric (adj) 
hypergyswllt	hyperlink (n) 
hypnoteiddio	hypnotise (vblex) 
hyrddio	ram (vblex) 
hyrddu	ram (vblex) 
hyrwyddiad	promotion (n) 
hyrwyddo	facilitate (vblex) 
hyrwyddwr	promoter (n) 
hysbyddu	exhaust (vblex) 
hysbyseb	advertisement (n) 
hysbysebu	advertise (vblex) 
hysbysebwr	advertiser (n) 
hysbysedig	notified (adj) 
hysbysiad	announcement (n) 
hysbysiad	notification (n) 
hysbys	known (adj) 
hysbyslen	prospectus (n) 
hysbysrwydd	publicity (n) 
hysbysu	announce (vblex) 
hysbysydd	notifier (n) 
hysian	set#_on (vblex) 
hytrach	rather (adv) 
hyweddu	pacify (vblex) 
iachâd	cure (n) 
iacháu	heal (vblex) 
iach	healthy (adj.sint) 
iachus	wholesome (adj) 
iâ	ice (n) 
Iain (np) 	Iain (np.ant) 
iaith	language (n) 
Ian (np) 	Ian (np.ant) 
iard#_chwarae	playground (n) 
iard	yard (n) 
iâr	hen (n) 
iasu	simmer (vblex) 
Iau	Jupiter (n) 
iau	liver (n) 
iau	yoke (n) 
iawndal	compensation (n) 
iawndaliad	compensation_payment (n) 
iawn	OK (adj) 
iawn	very (adv) 
iawn	very (preadv) 
icosahedron	icosahedron (n) 
Iddewes	Jewess (n) 
Iddewiaeth	Judaism (n) 
Iddewig	Jewish (adj) 
Iddew	Jew (n) 
ideolegol	ideological (adj) 
iechyd	health (n.unc) 
ieithyddiaeth	linguistics (n) 
ieithyddol	linguistic (adj) 
Iemen	Yemen (np.top) 
iengeiddio	rejuvenate (vblex) 
ieuainc	young (adj.sint) 
ieuanc	young (adj.sint) 
Ieuan (np) 	Ieuan (np.ant) 
ieuenctid	youth (n) 
ieuo	yoke (vblex) 
ie	yes (adv) 
ifanc	young (adj.sint) 
Ifan (np) 	Ifan (np.ant) 
Ifans (np) 	Ifans (np.cog) 
i_fewn	in (pr) 
ifori	ivory (n) 
Ifor (np) 	Ifor (np.ant) 
i_fyny	up (adv) 
igamogamu	zigzag (vblex) 
igian	hiccup (vblex) 
Ignaci (np) 	Ignaci (np.ant) 
i_gyd	all (adj) 
Íker (np) 	Íker (np.ant) 
i_lawr	down (adv) 
ildio	yield (vblex) 
i_mewn_i	into (pr) 
i_mewn	in (pr) 
Imogen (np) 	Imogen (np.ant) 
imperialaeth	imperialism (n) 
imperial	imperial (adj) 
impetws	impetus (n) 
impio	graft (vblex) 
imwneiddio	immunise (vblex) 
inc	ink (n) 
incwm	income (n) 
indemniad	indemnification (n) 
indemniad	indemnity (n) 
Indiana	Indiana (np.top) 
India (np) 	India (np.ant) 
Indo-Ewropeg	Indo-European (n) 
Indonesia	Indonesia (np.top) 
Inès (np) 	Inès (np.ant) 
Ingham (np) 	Ingham (np.ant) 
injan	engine (n) 
Innes (np) 	Innes (np.ant) 
inswleiddio	insulate (vblex) 
integredig	integrated (adj) 
integreiddiad	integration (n) 
integrol	integral (adj) 
ïodin	iodine (n) 
Iona (np) 	Iona (np.ant) 
Ionawr	January (n) 
ïon	ion (n) 
Irac	Iraq (np.top) 
Iràc	Iraq (np.top) 
i_raddau_helaeth	in_large_measure (adv) 
Iran	Iran (np.top) 
Iràn	Iran (np.top) 
Iraq	Iraq (np.top) 
i'r_chwith	to_the_left (adv) 
i'r_dde	to_the_right (adv) 
i'r_dim	exactly (adv) 
ireiddio	refresh (vblex) 
Irene (np) 	Irene (np.ant) 
ir	fresh (adj.sint) 
iro	anoint (vblex) 
Isaac (np) 	Isaac (np.ant) 
Isabella (np) 	Isabella (np.ant) 
Isabelle (np) 	Isabelle (np.ant) 
Isabel (np) 	Isabel (np.ant) 
isadeiledd	infrastructure (n) 
is-adran	sub-division (n) 
isafbwynt	minimum (n) 
isafrif	minimum (n) 
isafswm	minimum (n) 
is-banel	sub-panel (n) 
is-baragraff	sub-paragraph (n) 
is-bwyllgor	sub-committee (n) 
iselder	depression (n) 
Iseldiroedd	Netherlands (np.top) 
iselhau	lower (vblex) 
isel	low (adj.sint) 
iselu	lower (vblex) 
isgilio	ride#_as_passenger (vblex) 
isgoch	infrared (adj) 
isgyfeiriadur	subdirectory (n) 
isio	want (n) 
Islamabad	Islamabad (np.top) 
Isla (np) 	Isla (np.ant) 
islaw	below (adv) 
islythrennol	lower-case (adj) 
islythyren	lower-case_letter (n) 
Ismael (np) 	Ismael (np.ant) 
Isobel (np) 	Isobel (np.ant) 
isod	below (adv) 
isomedrig	isometric (adj) 
isop	hyssop (n) 
is-orsaf	sub-station (n) 
isosgeles	isosceles (adj) 
isosod	sublet (vblex) 
is-raddedig	undergraduate (adj) 
is-raddedig	undergraduate (n) 
israddoldeb	inferiority (n) 
isradd	root (n) 
Israel	Israel (np.top) 
isrannu	subdivide (vblex) 
is-set	subset (n) 
isymwybodol	subconscious (adj) 
italig	italic (adj) 
iteriad	iteration (n) 
iterus	iterative (adj) 
i	to (pr) 
Ivan (np) 	Ivan (np.ant) 
Ivo (np) 	Ivo (np.ant) 
Iwerddon	Ireland (np.top) 
Iwgoslafia	Yugoslavia (np.top) 
Izan (np) 	Izan (np.ant) 
jacio	jack (vblex) 
Jack (np) 	Jack (np.ant) 
Jackson (np) 	Jackson (np.ant) 
Jackson (np) 	Jackson (np.cog) 
Jacob (np) 	Jacob (np.ant) 
Jacquette (np) 	Jacquette (np.ant) 
Jade (np) 	Jade (np.ant) 
Jaime (np) 	Jaime (np.ant) 
Jai (np) 	Jai (np.ant) 
Jakarta	Jakarta (np.top) 
Jake (np) 	Jake (np.ant) 
Jak (np) 	Jak (np.ant) 
Jakys (np) 	Jakys (np.ant) 
Jamaica	Jamaica (np.top) 
James (np) 	James (np.ant) 
James (np) 	James (np.cog) 
Jamie (np) 	Jamie (np.ant) 
jamio	jam (vblex) 
Jane (np) 	Jane (np.ant) 
Janet (np) 	Janet (np.ant) 
Jan (np) 	Jan (np.ant) 
Japan	Japan (np.top) 
jargon	jargon (n) 
jar	jar (n) 
Jasmine (np) 	Jasmine (np.ant) 
Jasmin (np) 	Jasmin (np.ant) 
Jason (np) 	Jason (np.ant) 
Jaume (np) 	Jaume (np.ant) 
Jayden (np) 	Jayden (np.ant) 
Jay (np) 	Jay (np.ant) 
Jeanne (np) 	Jeanne (np.ant) 
Jeffrey (np) 	Jeffrey (np.ant) 
Jemma (np) 	Jemma (np.ant) 
Jenkins (np) 	Jenkins (np.cog) 
Jenlyns (np) 	Jenlyns (np.ant) 
Jenna (np) 	Jenna (np.ant) 
Jennifer (np) 	Jennifer (np.ant) 
Jersey	Jersey (np.top) 
Jessica (np) 	Jessica (np.ant) 
Jess (np) 	Jess (np.ant) 
Jesús (np) 	Jesús (np.ant) 
jigso	jigsaw (n) 
Joan_Antoni (np) 	Joan_Antoni (np.ant) 
Joan_Josep (np) 	Joan_Josep (np.ant) 
Joan_Manel (np) 	Joan_Manel (np.ant) 
Joanna (np) 	Joanna (np.ant) 
Joanne (np) 	Joanne (np.ant) 
Joan (np) 	Joan (np.ant) 
jocan	joke (vblex) 
jochio	squirt (vblex) 
jocian	joke (vblex) 
Jodie (np) 	Jodie (np.ant) 
Jodi (np) 	Jodi (np.ant) 
Joel (np) 	Joel (np.ant) 
Joe (np) 	Joe (np.ant) 
Johnathan (np) 	Johnathan (np.ant) 
John (np) 	John (np.ant) 
Johnson (np) 	Johnson (np.cog) 
Johnston (np) 	Johnston (np.cog) 
Jonathan (np) 	Jonathan (np.ant) 
Jones (np) 	Jones (np.cog) 
Jon (np) 	Jon (np.ant) 
